season,week,celebrity_name,judge_share,audience_share,combined_share,final_rank_alt_pct,pred_eliminated_alt_pct,judge_total_score
23,2,Rick Perry,0.06249999999998224,0.0,0.06249999999998224,13.0,1,22.0
23,3,Terra Jole,0.0923076923076639,0.12307356136446874,0.21538125367213265,1.0,0,30.0
23,3,James Hinchcliffe,0.08923076923074177,0.11192593574815175,0.20115670497889354,2.0,0,29.0
23,3,Laurie Hernandez,0.09538461538458604,0.1048250109172896,0.20020962630187564,3.0,0,31.0
23,3,Calvin Johnson Jr.,0.09846153846150817,0.0987930821085519,0.19725462057006005,4.0,0,32.0
23,3,Babyface,0.07692307692305325,0.1131472532196648,0.19007033014271807,5.0,0,25.0
23,3,Jana Kramer,0.07999999999997538,0.10671066469721509,0.18671066469719047,6.0,0,26.0
23,3,Marilu Henner,0.08615384615381964,0.08997296812631307,0.17612681428013272,7.0,0,28.0
23,3,Maureen McCormick,0.08615384615381964,0.0705173883607574,0.15667123451457704,8.0,0,28.0
23,3,Vanilla Ice,0.07076923076920899,0.06545595930014964,0.13622519006935863,9.0,0,23.0
23,3,Amber Rose,0.07692307692305325,0.05778908807871896,0.13471216500177222,10.0,0,25.0
23,3,Ryan Lochte,0.07692307692305325,0.05778908807871896,0.13471216500177222,10.0,0,25.0
23,3,Rick Perry,0.07076923076920899,0.0,0.07076923076920899,12.0,1,23.0
23,4,Calvin Johnson Jr.,0.08812260536395092,0.1593188161597832,0.2474414215237341,1.0,0,23.0
23,4,Terra Jole,0.09578544061299013,0.14210415432810075,0.23788959494109088,2.0,0,25.0
23,4,Jana Kramer,0.08812260536395092,0.14542902849766295,0.23355163386161387,3.0,0,23.0
23,4,Maureen McCormick,0.09195402298847052,0.10322144218383393,0.19517546517230444,4.0,0,24.0
23,4,James Hinchcliffe,0.10727969348654894,0.08079592461749474,0.18807561810404366,5.0,0,28.0
23,4,Vanilla Ice,0.08812260536395092,0.08429989094695152,0.17242249631090245,6.0,0,23.0
23,4,Amber Rose,0.09195402298847052,0.07320072196909091,0.16515474495756144,7.0,0,24.0
23,4,Babyface,0.06896551724135289,0.09443929143196433,0.16340480867331722,8.0,0,18.0
23,4,Marilu Henner,0.0804597701149117,0.077266958388027,0.1577267285029387,9.0,0,21.0
23,4,Ryan Lochte,0.08429118773943131,0.0,0.08429118773943131,11.0,1,22.0
23,4,Laurie Hernandez,0.11494252873558815,0.0399237714770907,0.15486630021267883,11.0,1,30.0
23,5,James Hinchcliffe,0.1260869565216843,0.15568817861956127,0.2817751351412456,1.0,0,29.0
23,5,Terra Jole,0.11739130434777505,0.15374397608826448,0.2711352804360395,2.0,0,27.0
23,5,Laurie Hernandez,0.10869565217386579,0.1539451262853426,0.2626407784592084,3.0,0,25.0
23,5,Jana Kramer,0.11304347826082042,0.1380481455527636,0.251091623813584,4.0,0,26.0
23,5,Calvin Johnson Jr.,0.10434782608691116,0.12920724144671483,0.23355506753362598,5.0,0,24.0
23,5,Maureen McCormick,0.10434782608691116,0.10926670571160678,0.21361453179851794,6.0,0,24.0
23,5,Marilu Henner,0.11739130434777505,0.09121359877953529,0.20860490312731034,7.0,0,27.0
23,5,Amber Rose,0.10434782608691116,0.0688870275162112,0.17323485360312235,8.0,0,24.0
23,5,Ryan Lochte,0.10434782608691116,0.0,0.10434782608691116,9.0,0,24.0
23,6,James Hinchcliffe,0.12459016393438539,0.17240747216896413,0.2969976361033495,1.0,0,38.0
23,6,Laurie Hernandez,0.1213114754097963,0.15403176317765116,0.27534323858744747,2.0,0,37.0
23,6,Calvin Johnson Jr.,0.1213114754097963,0.1486298641005191,0.2699413395103154,3.0,0,37.0
23,6,Jana Kramer,0.13114754098356357,0.12313401834532,0.2542815593288836,4.0,0,40.0
23,6,Terra Jole,0.09836065573767268,0.13457894150976862,0.2329395972474413,5.0,0,30.0
23,6,Maureen McCormick,0.10163934426226176,0.12609591202900378,0.22773525629126554,6.0,0,31.0
23,6,Marilu Henner,0.11147540983602904,0.09543809077099517,0.2069135006070242,7.0,0,34.0
23,6,Amber Rose,0.0918032786884945,0.04568393789777814,0.13748721658627264,9.0,1,28.0
23,6,Ryan Lochte,0.09836065573767268,0.0,0.09836065573767268,9.0,0,30.0
23,7,Calvin Johnson Jr.,0.13430127041737414,0.17664525604021133,0.31094652645758547,1.0,0,37.0
23,7,James Hinchcliffe,0.13430127041737414,0.17628370908838123,0.31058497950575537,2.0,0,37.0
23,7,Laurie Hernandez,0.12522686025403804,0.18258321867219154,0.3078100789262296,3.0,0,34.5
23,7,Jana Kramer,0.12522686025403804,0.1630440392248541,0.2882708994788922,4.0,0,34.5
23,7,Terra Jole,0.12522686025403804,0.12943987580983773,0.2546667360638758,5.0,0,34.5
23,7,Maureen McCormick,0.11978221415603638,0.12024091878701629,0.24002313294305266,6.0,0,33.0
23,7,Marilu Henner,0.11615245009070195,0.05176298237750782,0.16791543246820978,8.0,1,32.0
23,7,Ryan Lochte,0.11978221415603638,0.0,0.11978221415603638,8.0,0,33.0
23,8,Calvin Johnson Jr.,0.1492538798545326,0.25304607471499135,0.40229995456952394,1.0,0,30.0
23,8,James Hinchcliffe,0.17412853147108898,0.22051724031273404,0.394645771783823,2.0,0,34.9998
23,8,Laurie Hernandez,0.16417926783998585,0.21675125826677355,0.38093052610675937,3.0,0,33.0
23,8,Jana Kramer,0.1492538798545326,0.21835448757331935,0.36760836742785197,4.0,0,30.0
23,8,Terra Jole,0.11940310388362606,0.08537358921582987,0.20477669309945593,5.0,0,24.0
23,8,Ryan Lochte,0.1293533625405949,0.0,0.1293533625405949,6.0,0,26.0
23,8,Marilu Henner,0.11442797455514164,0.005957349916351873,0.12038532447149351,7.0,1,23.0
23,9,Calvin Johnson Jr.,0.1629955947135846,0.24437471390884644,0.40737030862243107,1.0,0,37.0
23,9,Jana Kramer,0.17621145374441577,0.22623406517080136,0.4024455189152171,2.0,0,40.0
23,9,Laurie Hernandez,0.17621145374441577,0.22044726062528483,0.39665871436970057,3.0,0,40.0
23,9,James Hinchcliffe,0.1585903083699742,0.16133158003973397,0.31992188840970814,4.0,0,36.0
23,9,Terra Jole,0.167400881057195,0.14761238025533352,0.3150132613125285,5.0,0,38.0
23,9,Marilu Henner,0.1585903083699742,0.0,0.1585903083699742,6.0,1,36.0
23,10,Laurie Hernandez,0.20477815699644727,0.41429604748167825,0.6190742044781256,1.0,0,30.0
23,10,Jana Kramer,0.19795221842989902,0.21570590077168136,0.41365811920158035,2.0,0,29.0
23,10,James Hinchcliffe,0.20136518771317316,0.18105941286711058,0.3824246005802837,3.0,0,29.5
23,10,Calvin Johnson Jr.,0.1911262798633508,0.1889386388795298,0.3800649187428806,5.0,1,28.0
23,10,Terra Jole,0.20477815699644727,0.0,0.20477815699644727,5.0,0,30.0
23,11,Laurie Hernandez,0.2584885858280797,0.4908972729388671,0.7493858587669469,1.0,0,39.333200000000005
23,11,Jana Kramer,0.2332976924556565,0.0,0.2332976924556565,4.0,1,35.5
23,11,Calvin Johnson Jr.,0.2519161626668148,0.23332931642574506,0.4852454790925599,4.0,1,38.3331
23,11,James Hinchcliffe,0.2562975590487919,0.27577341063538785,0.5320709696841798,4.0,1,38.9998
24,1,David Ross,0.09271523178804877,0.13708198334869856,0.22979721513674733,1.0,0,28.0
24,1,Heather Morris,0.09271523178804877,0.13708198334869856,0.22979721513674733,1.0,0,28.0
24,1,Nancy Kerrigan,0.09271523178804877,0.13708198334869856,0.22979721513674733,1.0,0,28.0
24,1,Normani,0.08940397350990417,0.11527568663831982,0.20467966014822397,4.0,0,27.0
24,1,Bonner Bolton,0.07284768211918118,0.1236032492629306,0.19645093138211178,5.0,0,22.0
24,1,Erika Jayne,0.07947019867547038,0.10281663418430245,0.18228683285977282,6.0,0,24.0
24,1,Nick Viall,0.07947019867547038,0.10281663418430245,0.18228683285977282,6.0,0,24.0
24,1,Rashad Jennings,0.10264900662248257,0.04117651886681646,0.14382552548929903,8.0,0,31.0
24,1,Simone Biles,0.10596026490062717,0.008440837560943267,0.11440110246157044,9.0,0,32.0
24,1,Charo,0.06953642384103657,0.04140540543083465,0.11094182927187123,10.0,0,21.0
24,1,Chris Kattan,0.056291390728458186,0.05321908382545463,0.10951047455391281,11.0,0,17.0
